procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2653944  39920 785928    0    0     0    20 1339  333  1  1 48 50  0  0
 0  3      0 2653944  39920 785940    0    0     0     0 1191  307  0  1 49 50  0  0
 0  3      0 2653944  39920 785944    0    0     0     0 1189  313  1  1 49 50  0  0
 0  3      0 2653944  39920 785948    0    0     0     0 1235  298  0  1 49 50  0  0
 0  3      0 2653944  39920 785952    0    0     0     0 1301  302  0  1 49 50  0  0
 0  3      0 2653944  39928 785952    0    0     0    20 1207  308  1  1 49 50  0  0
 0  3      0 2653944  39928 785960    0    0     0     0 1183  296  0  1 49 51  0  0
 0  3      0 2653944  39928 785964    0    0     0     0 1288  314  0  1 49 50  0  0
 0  3      0 2653944  39928 785972    0    0     0     0 1298  296  1  1 49 50  0  0
 0  3      0 2653244  39936 785972    0    0     0    36 1302  578  0  2 49 50  0  0
 0  3      0 2652988  39936 785984    0    0     0     0 1321  357  1  1 49 50  0  0
 1  3      0 2652936  39936 785988    0    0     0     0 1312  274  1  1 49 50  0  0
 0  3      0 2652936  39936 785988    0    0     0     0 1259  310  0  0 49 51  0  0
 0  3      0 2652936  39936 785996    0    0     0     0 1186  317  1  1 49 50  0  0
 0  3      0 2652936  39944 785996    0    0     0    40 1307  309  0  0 48 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2652936  39944 786004    0    0     0     0 1341  315  1  1 49 50  0  0
 0  3      0 2652936  39944 786008    0    0     0     0 1238  303  0  0 50 50  0  0
 0  3      0 2652936  39944 786008    0    0     0     0 1196  320  1  1 49 50  0  0
 0  3      0 2652936  39944 786016    0    0     0     0 1209  303  0  1 49 50  0  0
 0  3      0 2652936  39952 786012    0    0     0    24 1193  327  1  1 47 51  0  0
 0  3      0 2652936  39952 786020    0    0     0     0 1226  324  1  1 49 50  0  0
 0  3      0 2652936  39952 786032    0    0     0     0 1247  304  0  0 50 50  0  0
 0  3      0 2652936  39952 786032    0    0     0     0 1243  292  1  1 49 50  0  0
 0  3      0 2652936  39952 786032    0    0     0     0 1275  298  0  1 50 50  0  0
 0  3      0 2652936  39960 786036    0    0     0    20 1205  320  0  1 48 51  0  0
 0  3      0 2652936  39960 786044    0    0     0     0 1241  293  0  1 49 50  0  0
 0  3      0 2652936  39960 786048    0    0     0   132 1219  308  0  1 49 50  0  0
 0  3      0 2652936  39960 786048    0    0     0     0 1278  292  1  1 49 50  0  0
 0  3      0 2652936  39960 786048    0    0     0   148 1271  314  1  1 49 50  0  0
 0  3      0 2652936  39968 786052    0    0     0    32 1284  307  0  1 49 50  0  0
 0  3      0 2652936  39968 786068    0    0     0     0 1258  457  0  1 49 50  0  0
 0  3      0 2652736  39968 786068    0    0     0    32 1201  293  1  1 49 50  0  0
 0  3      0 2652684  39968 786076    0    0     0     0 1244  309  0  1 50 50  0  0
